,0
120,"['aerial', 'view', 'speaking', 'city', 'said', 'liberate', 'source', 'news', 'smith']"
121,"['complete', 'closure', 'border', 'ambassador']"
122,"['video', 'grandmother', 'entering', 'village', 'likely', 'around', 'northern']"
123,"['another', 'military', 'convoy', 'today', 'sam', 'system']"
124,"['russia', 'central', 'bank', 'gold']"
125,"['whatever', 'exile', 'wait', 'till', 'find', 'going', 'tiny', 'region']"
126,"['type', 'aid', 'needs', 'people', 'response', 'stinger', 'arms']"
127,"['opera', 'house', 'touching', 'moment', 'director', 'connection', 'art', 'humanity', 'us', 'stand', 'national', 'anthem', 'art']"
128,"['update', 'around', 'northwest', 'around', 'continued', 'pull', 'back', 'march', 'though', 'continued', 'defend', 'front', 'area', 'shell', 'civilian']"
129,['palace']
130,"['type', 'aid', 'needs', 'people', 'response', 'stinger', 'arms']"
131,['bunch']
132,"['around', 'capital', 'another', 'city', 'overnight', 'regional', 'said', 'scale', 'back', 'military']"
133,"['walking', 'away', 'reposition', 'us', 'russia', 'news']"
134,"['previously', 'unseen', 'rare', 'footage', 'sam', 'system', 'use', 'apparently', 'target', 'whether', 'jet', 'drone', 'missile', 'unknown', 'location', 'date', 'unknown']"
135,"['international', 'welfare', 'russia', 'news']"
136,"['army', 'bombed', 'building', 'marked', 'red', 'cross', 'south']"
137,"['spoke', 'today', 'president', 'ongoing', 'work', 'us', 'allies', 'deliver', 'military', 'economic', 'humanitarian', 'assistance']"
138,"['live', 'peach', 'voice', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'twitter']"
139,"['waiting', 'rot']"
140,"['previously', 'unseen', 'rare', 'footage', 'sam', 'system', 'use', 'apparently', 'target', 'whether', 'jet', 'drone', 'missile', 'unknown', 'location', 'date', 'unknown']"
141,"['yellow', 'distributed', 'say', 'everyone', 'armed', 'macron', 'known', 'yet']"
142,"['map', 'approximate', 'situation', 'breaking']"
143,"['shah', 'china', 'tried', 'make', 'world', 'politics', 'try', 'make', 'replace', 'understand']"
144,"['saying', 'loud', 'us', 'watch', 'full', 'show']"
145,"['mean', 'ever']"
146,['march']
147,"['residential', 'hit', 'today']"
148,"['burning', 'burning', 'burn', 'sky', 'war', 'yellow', 'blue']"
149,"['unknown', 'date']"
150,"['armored', 'field', 'ambulance', 'march', 'right', 'used', 'armed', 'personnel', 'carrier', 'additional', 'heavy', 'machine', 'mounted', 'vehicle']"
151,"['armored', 'vehicle', 'little', 'flip', 'running']"
152,"['complete', 'closure', 'border', 'ambassador']"
153,['gorilla']
154,"['spotted', 'international', 'airport', 'way', 'march', 'concert', 'perform', 'new', 'collaboration', 'bam', 'bam', 'live', 'together', 'first', 'time', 'b']"
155,"['retreating', 'quietly', 'loud', 'tonight']"
156,"['bloodied', 'front', 'line', 'town', 'push', 'back', 'k']"
157,"['russia', 'invasion', 'us', 'un', 'irrelevant']"
158,"['around', 'capital', 'another', 'city', 'overnight', 'regional', 'said', 'scale', 'back', 'military']"
159,"['armored', 'field', 'ambulance', 'march', 'right', 'used', 'armed', 'personnel', 'carrier', 'additional', 'heavy', 'machine', 'mounted', 'vehicle']"
160,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
161,"['add', 'recent', 'recovery', 'sally', 'ho', 'technical', 'analysis', 'gold', 'russia']"
162,"['javelin', 'food', 'incoming']"
163,"['democracy', 'priority', 'trump', 'rand', 'rick', 'russia', 'trump']"
164,"['give', 'man', 'needs', 'god', 'sake', 'afraid']"
165,"['new', 'street', 'art', 'place', 'de', 'la', 'city']"
166,"['walking', 'away', 'reposition', 'us', 'russia', 'news']"
167,['palace']
168,"['lake', 'formed', 'ancient', 'rift', 'valley', 'voluminous', 'lake', 'world', 'photography', 'lake', 'russia']"
169,"['map', 'approximate', 'situation', 'breaking']"
170,"['map', 'approximate', 'situation', 'breaking']"
171,['bunch']
172,"['armored', 'vehicle', 'little', 'flip', 'running']"
173,"['video', 'brigade', 'region']"
174,['irradiated']
175,"['previously', 'unseen', 'rare', 'footage', 'sam', 'system', 'use', 'apparently', 'target', 'whether', 'jet', 'drone', 'missile', 'unknown', 'location', 'date', 'unknown']"
176,"['way', 'back']"
177,"['shah', 'china', 'tried', 'make', 'world', 'politics', 'try', 'make', 'replace', 'understand']"
178,['russia']
179,"['russia', 'nuclear', 'armed', 'air', 'space', 'effort', 'intimidation']"
180,"['ai', 'anonymous']"
181,"['downtown', 'afternoon']"
182,"['inflation', 'corporate', 'earnings', 'focus', 'ripple']"
183,['part']
184,"['previously', 'unseen', 'rare', 'footage', 'sam', 'system', 'use', 'apparently', 'target', 'whether', 'jet', 'drone', 'missile', 'unknown', 'location', 'date', 'unknown']"
185,"['operator', 'video', 'show', 'shooting', 'distributed', 'propagandist']"
186,"['map', 'approximate', 'situation', 'breaking']"
187,"['sent', 'anti', 'tank', 'grenade']"
188,"['senator', 'working']"
189,"['armored', 'vehicle', 'little', 'flip', 'running']"
190,"['watched', 'tonight', 'one', 'word']"
191,"['answer', 'question', 'willing', 'give']"
192,"['full', 'recovery', 'war', 'russia', 'ruble', 'work', 'ya']"
193,"['measure', 'widely', 'russia', 'dark', 'diplomacy', 'visa', 'assistant']"
194,"['ambassador', 'holding', 'completely', 'close', 'border']"
195,"['march', 'armed', 'right', 'sector', 'two', 'anti', 'tank']"
196,"['lord', 'looter']"
197,"['russia', 'russia']"
198,"['watch', 'full', 'speech', 'un']"
199,"['map', 'approximate', 'situation', 'breaking']"
200,"['shelled', 'morning', 'march']"
201,"['previously', 'unseen', 'rare', 'footage', 'sam', 'system', 'use', 'apparently', 'target', 'whether', 'jet', 'drone', 'missile', 'unknown', 'location', 'date', 'unknown']"
202,"['hello', 'understand', 'drive', 'latest', 'bought', 'money', 'donated', 'world', 'know', 'spend', 'money', 'construction', 'concentration']"
203,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
204,"['west', 'impact', 'around', 'world', 'start', 'watch', 'video', 'see', 'war']"
205,"['generally', 'pacifistic', 'particular', 'case', 'prelude', 'rest', 'us', 'decide', 'handle', 'whole', 'world', 'hostage', 'situation', 'going', 'eu', 'stand', 'inside']"
206,"['need', 'anti', 'armor', 'anti', 'tank', 'surface', 'air', 'per', 'gen', 'effectiveness', 'far', 'russia']"
207,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
208,"['given', 'seeing', 'seeing', 'coup', 'regime', 'change', 'russia', 'appear', 'likely', 'time', 'soon', 'hear']"
209,"['complete', 'closure', 'border', 'ambassador']"
210,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
211,"['map', 'approximate', 'situation', 'breaking']"
212,"['former', 'business', 'partner']"
213,"['eu', 'saw', 'saker', 'site']"
214,"['county', 'take', 'stand', 'causeway']"
215,"['video', 'new', 'footage', 'today', 'russia']"
216,['footage']
217,"['become', 'next', 'us']"
218,"['building', 'plan', 'provide', 'assistance', 'give', 'need', 'take', 'back', 'every', 'inch']"
219,"['three', 'side', 'outside', 'small', 'village', 'stationary', 'next', 'petrol', 'station']"
220,"['army', 'bombed', 'building', 'marked', 'red', 'cross', 'south']"
221,"['us', 'president', 'president', 'discuss', 'together', 'russia', 'war']"
222,[]
223,"['russia', 'fall', 'central', 'founder', 'chairman', 'geopolitical', 'via']"
224,"['us', 'president', 'president', 'discuss', 'together', 'russia', 'war']"
225,"['government', 'ship', 'millions', 'tax', 'remember', 'big', 'guy']"
226,"['russia', 'seize', 'journalist', 'take', 'trial']"
227,"['reportedly', 'sent', 'anti', 'tank', 'grenade', 'decision', 'made', 'speech', 'parliament']"
228,"['aerial', 'view', 'speaking', 'city', 'said', 'liberate', 'source', 'news', 'smith']"
229,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
230,"['village', 'region', 'tank', 'burning', 'background']"
231,"['knowledge', 'essential', 'facing']"
232,"['media', 'zero', 'credibility', 'know', 'know', 'trump']"
233,"['previously', 'unseen', 'rare', 'footage', 'sam', 'system', 'use', 'apparently', 'target', 'whether', 'jet', 'drone', 'missile', 'unknown', 'location', 'date', 'unknown']"
234,"['without', 'russia', 'would', 'nothing', 'another', 'north', 'breaking', 'news', 'russia', 'kremlin', 'eu']"
235,"['new', 'russia', 'red', 'cross', 'building']"
236,['following']
237,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
238,"['get', 'capital', 'least', 'days', 'drive', 'long', 'many']"
239,"['russia', 'invasion', 'us', 'un', 'irrelevant']"
240,"['army', 'bombed', 'building', 'marked', 'red', 'cross', 'south']"
241,"['get', 'capital', 'least', 'days', 'drive', 'long', 'many']"
242,"['complete', 'closure', 'border', 'ambassador']"
243,"['know', 'nothing', 'invisible', 'ink', 'code', 'book', 'never', 'benedict', 'traitor', 'treason', 'trump']"
244,['language']
245,"['think', 'president', 'somewhat', 'send', 'message', 'directly']"
246,"['today', 'video', 'southern', 'city', 'spot', 'missile', 'building', 'governor', 'office']"
247,"['journalist', 'local', 'media', 'turkey', 'fake']"
248,"['z', 'gig', 'time', 'fess']"
249,"['president', 'needs', 'also', 'look', 'assault', 'activist', 'patient', 'purpose']"
250,"['spotted', 'international', 'airport', 'way', 'march', 'concert', 'perform', 'new', 'collaboration', 'bam', 'bam', 'live', 'together', 'first', 'time', 'b']"
251,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
252,"['complete', 'closure', 'border', 'ambassador']"
253,"['get', 'capital', 'least', 'days', 'drive', 'long', 'many']"
254,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
255,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
256,"['drawn', 'trump']"
257,"['remember', 'artist']"
258,"['retreating', 'quietly', 'loud', 'tonight']"
259,['father']
260,"['complete', 'closure', 'border', 'ambassador']"
261,"['live', 'peach', 'voice', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'twitter']"
262,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
263,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
264,"['army', 'referendum', 'army']"
265,"['get', 'capital', 'least', 'days', 'drive', 'long', 'many']"
266,"['live', 'peach', 'voice', 'bookworm', 'fantasy', 'fi', 'epic', 'poetry', 'adventure', 'twitter']"
267,"['spotted', 'international', 'airport', 'way', 'march', 'concert', 'perform', 'new', 'collaboration', 'bam', 'bam', 'live', 'together', 'first', 'time', 'b']"
268,"['spotted', 'international', 'airport', 'way', 'march', 'concert', 'perform', 'new', 'collaboration', 'bam', 'bam', 'live', 'together', 'first', 'time', 'b']"
269,"['armored', 'ambulance']"
270,['father']
271,"['get', 'capital', 'least', 'days', 'drive', 'long', 'many']"
272,"['sent', 'anti', 'tank', 'grenade']"
273,"['anonymous', 'trump', 'next']"
274,['liberation']
275,"['new', 'street', 'art', 'place', 'de', 'la', 'city']"
276,"['news', 'digest', 'update']"
277,"['give', 'man', 'needs', 'god', 'sake', 'afraid']"
278,"['distinguished', 'chair', 'frontier', 'program', 'troop']"
279,"['right', 'thing', 'marijuana']"
280,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
281,"['wonder', 'many', 'really', 'bought', 'noise', 'would', 'translate', 'actual', 'spending']"
282,"['salary', 'price', 'corruption']"
283,"['journalist', 'local', 'media', 'turkey', 'fake']"
284,"['song', 'people', 'check', 'video', 'bridge', 'water']"
285,"['buried', 'sons', 'side', 'side', 'reserved', 'father']"
286,"['wo', 'tell', 'many', 'woman', 'shot', 'multiple', 'times', 'soldier', 'report']"
287,"['complete', 'closure', 'border', 'ambassador']"
288,"['complete', 'closure', 'border', 'ambassador']"
289,"['live', 'twitter', 'via', 'twitter']"
290,['march']
291,"['letter', 'editor', 'today', 'post']"
292,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
293,"['took', 'everyone', 'russia']"
294,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
295,"['previously', 'unseen', 'rare', 'footage', 'sam', 'system', 'use', 'apparently', 'target', 'whether', 'jet', 'drone', 'missile', 'unknown', 'location', 'date', 'unknown']"
296,"['blood', 'wo', 'wash', 'see', 'russia']"
297,"['map', 'approximate', 'situation', 'breaking']"
298,"['drive', 'russia']"
299,"['needs', 'come', 'make', 'public', 'statement', 'light', 'new', 'evidence', 'regarding', 'gap', 'phone', 'investigating', 'everything', 'everyone', 'associated', 'trump', 'oval', 'office']"
300,"['retreating', 'quietly', 'loud', 'tonight']"
301,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
302,"['know', 'nothing', 'invisible', 'ink', 'code', 'book', 'never', 'benedict', 'traitor', 'treason', 'trump']"
303,"['video', 'currently', 'invasion', 'ordinary', 'worked', 'yesterday', 'taken', 'arms', 'today', 'protecting', 'genocide', 'real']"
304,"['become', 'next', 'us']"
305,"['get', 'capital', 'least', 'days', 'drive', 'long', 'many']"
306,['russia']
307,"['first', 'hysterically', 'russia', 'running', 'gas', 'karma']"
308,"['western', 'democracy', 'man']"
309,"['russia', 'frozen', 'bank', 'polish', 'embassy', 'retaliatory', 'move', 'last', 'week', 'blockage', 'embassy', 'account', 'polish', 'embassy', 'confirmed']"
310,"['ave', 'day', 'yesterday', 'russia']"
311,['region']
312,"['thing', 'al', 'try', 'make', 'bad']"
313,"['adjunct', 'professor', 'wounded']"
314,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
315,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
316,"['leviathan', 'taking', 'plane', 'ride']"
