,0
123,"['prime', 'minister', 'mark', 'peace', 'agreement', 'detriment', 'territorial', 'integrity', 'sovereignty', 'lead', 'automatic', 'lifting', 'russia']"
124,"['oh', 'million', 'times', 'bipartisan', 'trump', 'begging', 'release', 'dirt', 'keep', 'going', 'back', 'forth']"
125,"['behind', 'shoot', 'back', 'escape', 'neo', 'tell', 'truth', 'infamous', 'neo', 'battalion', 'never', 'show', 'tell']"
126,"['please', 'share', 'offering', 'opportunity', 'graduate', 'come', 'canada', 'conduct', 'research', 'lab', 'person', 'research', 'addition', 'previously', 'remote', 'still']"
127,"['breaking', 'anonymous', 'investment', 'firm', 'oligarch', 'wish', 'asset', 'j', 'trump', 'next']"
128,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
129,"['new', 'prevent', 'travel', 'russia']"
130,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
131,"['sure', 'say', 'fault', 'expiring', 'blame', 'trump', 'making', 'permanent', 'amazing']"
132,"['thanks', 'support', 'please', 'stop', 'supporting', 'please', 'move', 'world', 'busy', 'place', 'whole', 'host', 'humbly', 'ask', 'stay', 'people', 'long', 'haul']"
133,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
134,"['people', 'amaze', 'bravery', 'strength', 'kindness', 'need', 'reliable', 'source', 'news', 'directly', 'people', 'war', 'destruction', 'death', 'see', 'persevere']"
135,"['run', 'toward', 'fired', 'artillery', 'save', 'property', 'please', 'join', 'great', 'way', 'support', 'fire']"
136,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
137,"['oh', 'great', 'new']"
138,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
139,"['excited', 'mint', 'day', 'tomorrow', 'let', 'giveaway', 'companion', 'know', 'drill', 'like', 'tag', 'pick', 'winner', 'mint']"
140,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
141,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
142,"['soon', 'supply', 'arms', 'worth', 'million', 'machine', 'armored', 'military', 'total']"
143,"['hit', 'tank', 'hit']"
