,0
94,"['former', 'president', 'trump', 'never', 'president', 'stooge', 'ran', 'treasonous', 'regime', 'assets', 'prosecute', 'partner', 'trump', 'collins']"
95,"['totally', 'helicopter']"
96,"['fascist', 'killer', 'wave', 'flag', 'want', 'feel', 'sick', 'stupidity', 'russia']"
97,"['purposeful', 'blindness', 'complicity', 'choice']"
98,"['difficult', 'comprehend', 'million', 'people', 'war', 'individual', 'person', 'life', 'forever', 'join', 'convoy', 'bring', 'relief', 'affected', 'war', 'visit']"
99,"['white', 'house', 'intelligence', 'determined', 'president', 'military', 'poor', 'performance']"
100,"['president', 'believe', 'anyone', 'attractive', 'empty', 'give', 'anything', 'fight', 'every', 'meter', 'land', 'every', 'single', 'person']"
101,"['newly', 'added', 'equipment', 'full', 'list']"
102,"['hell', 'trump', 'locked', 'need', 'wake', 'hell', 'man', 'back', 'power', 'kiss', 'democracy', 'trump', 'publicly', 'get', 'dirt']"
103,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
104,"['world', 'face', 'remain', 'forgotten', 'according', 'five', 'almost', 'two', 'third', 'pregnant', 'breastfeeding', 'malnourished']"
105,"['turned', 'war', 'russia', 'respectively']"
106,"['war', 'criminal', 'responsible', 'responsible', 'starting', 'responsible', 'death', 'destruction', 'resist']"
107,"['everything', 'even', 'earth', 'army', 'armor', 'sure', 'defeat', 'overwhelmingly', 'end', 'run', 'away', 'dragging', 'shame', 'disappointment']"
108,"['silly', 'cartoon', 'border', 'sense', 'thought', 'could', 'win', 'reunite', 'think', 'bad', 'army']"
109,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
110,"['concentration', 'forcibly', 'also', 'term', 'backed', 'get', 'memo']"
111,"['mine', 'clearing', 'vehicle', 'army', 'totally']"
112,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
113,"['war', 'criminal', 'responsible', 'responsible', 'starting', 'responsible', 'death', 'destruction', 'resist']"
114,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
115,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
116,"['much', 'equipment', 'lost', 'army', 'either', 'pro', 'front', 'cobra']"
117,"['like', 'load', 'lot', 'counting', 'mother', 'us', 'weak']"
118,"['freedom', 'backed', 'think', 'since', 'obedient', 'media', 'silent', 'truth', 'wo', 'exposed', 'non', 'western', 'see', 'local', 'media', 'brutal', 'western', 'racism', 'domination']"
119,"['last', 'war', 'human', 'race', 'billion', 'us', 'die', 'people', 'something', 'stop']"
120,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
121,"['middle', 'war', 'cat', 'human']"
122,"['middle', 'war', 'cat', 'human']"
123,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
124,"['russia', 'war', 'collect', 'shelling', 'attack', 'via']"
125,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
126,"['purposeful', 'blindness', 'complicity', 'choice']"
127,"['middle', 'war', 'cat', 'human']"
128,"['year', 'old', 'girl', 'said', 'drunk', 'one', 'one', 'several', 'moreover', 'husband', 'yet', 'buried', 'four', 'year', 'old', 'son', 'boiler', 'house', 'slept', 'ran', 'away', 'son']"
129,"['train', 'wreck', 'gas', 'blink', 'first', 'think', 'either', 'russia']"
130,"['regional', 'governor', 'regime', 'graveyard', 'russia']"
131,"['infantry', 'fighting', 'vehicle', 'used', 'belong', 'army']"
132,"['new', 'access', 'domestic', 'aviation', 'technical', 'foreign', 'office', 'revealed']"
133,"['west', 'versus', 'east', 'civil', 'war', 'led', 'war', 'full', 'documentary', 'part', 'part', 'part', 'part']"
134,"['suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'employee', 'state', 'agency', 'exclusion', 'zone', 'management', 'said', 'running', 'away', 'irradiated']"
135,"['uncommon', 'vehicle', 'articulated', 'terrain', 'vehicle']"
136,"['leading', 'switching', 'national', 'dollar', 'longer', 'foreign', 'exchange', 'russia', 'china']"
137,"['three', 'dimensional', 'air', 'surveillance', 'radar', 'system', 'abandoned', 'army', 'retreating']"
138,"['hour', 'midnight', 'shelling', 'stop', 'feel', 'like', 'keep', 'word', 'every', 'shot', 'every', 'rocket', 'somebody', 'death']"
139,"['russia', 'almost', 'k', 'russia', 'create', 'hostage', 'exchange', 'fund']"
140,"['suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'employee', 'state', 'agency', 'exclusion', 'zone', 'management', 'said', 'running', 'away', 'irradiated']"
141,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
142,"['statement', 'march', 'army', 'first', 'phase', 'operation', 'forced', 'opponent', 'concentrate', 'retaining', 'control', 'large']"
143,"['media', 'tass', 'local', 'ammunition', 'depot', 'exploded', 'village', 'near', 'four', 'wounded', 'surprisingly', 'tass', 'outdated', 'ammo']"
144,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
145,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
146,"['russia', 'video', 'attack', 'group', 'several', 'rocket']"
147,"['lieutenant', 'ken', 'ree', 'former', 'seal', 'operator', 'currently', 'fighting', 'part', 'foreign', 'legion']"
148,"['lieutenant', 'ken', 'ree', 'former', 'seal', 'operator', 'fighting', 'foreign', 'legion']"
149,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
150,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
151,"['please', 'think', 'consider', 'anti', 'agenda', 'continue', 'justify', 'criticism', 'pro', 'may', 'validity', 'believe', 'understand', 'conflict', 'know', 'well', 'enough', 'critical', 'war']"
152,"['us', 'recession', 'constable', 'via']"
153,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
154,"['used', 'blame', 'inner', 'circle', 'brutal', 'war', 'population', 'world', 'make', 'price', 'aggression', 'irresistible']"
155,"['compete', 'guy', 'year', 'next', 'time', 'nothing', 'top', 'work']"
156,['push']
157,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
158,"['warning', 'graphic', 'video', 'population', 'living', 'outside', 'major', 'poor', 'invasion', 'opportunity', 'steal', 'something', 'bring', 'home', 'video']"
159,"['german', 'government', 'provide', 'list', 'various', 'next', 'days', 'decide', 'needs', 'spiegel']"
160,"['lieutenant', 'ken', 'ree', 'former', 'seal', 'operator', 'currently', 'fighting', 'part', 'foreign', 'legion']"
161,"['tank', 'memorial', 'soviet', 'berlin', 'covered', 'flag', 'embassy', 'sent', 'note', 'protest', 'berlin', 'tank', 'city']"
162,"['peace', 'innocent', 'people', 'torture', 'rape', 'young', 'mother', 'front', 'year', 'old', 'son', 'boy', 'hair', 'turned', 'gray', 'wounds', 'know', 'wretched', 'z', 'army']"
163,"['world', 'like', 'drone', 'footage', 'shot', 'city']"
164,"['believe', 'anyone', 'trust', 'beautiful', 'verbal', 'real', 'situation', 'battlefield', 'important', 'thing', 'give', 'anything', 'fight', 'every', 'meter', 'land', 'every', 'person']"
165,"['another', 'article', 'raping', 'note', 'rapist', 'husband', 'lie', 'justification', 'everything', 'want', 'kill', 'someone', 'call', 'via']"
166,"['semblance', 'public', 'council', 'public', 'council', 'exclusion', 'zone', 'via', 'news', 'agency', 'public', 'council', 'state', 'agency', 'state', 'agency', 'week', 'would', 'scale', 'back', 'exclusion', 'zone', 'apparently', 'suffering']"
167,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
168,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
169,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
170,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
171,"['last', 'war', 'human', 'race', 'billion', 'us', 'die', 'people', 'something', 'stop']"
172,"['totally', 'helicopter']"
173,"['update', 'top', 'news', 'agency', 'ria', 'said', 'ammo', 'depot', 'human', 'factor', 'polite', 'way', 'say', 'someone', 'spot', 'screwed', 'send', 'u']"
174,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
175,"['ruined', 'illegally', 'people', 'russia', 'still', 'trapped']"
176,"['suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'employee', 'state', 'agency', 'exclusion', 'zone', 'management', 'said', 'running', 'away', 'irradiated']"
177,"['bloody', 'blatant', 'minister', 'armed', 'baku', 'meet', 'ministry', 'defense', 'day', 'visit', 'must', 'temper', 'zeal', 'open', 'second', 'front', 'russia', 'war', 'ethnic', 'cleansing']"
178,"['show', 'pleasure', 'recent', 'article', 'diplomacy', 'rejoin', 'war', 'likely', 'show', 'listen']"
179,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
180,"['middle', 'war', 'cat', 'human']"
181,"['forcibly', 'russia', 'city', 'still', 'city', 'heavy', 'shelling', 'underway', 'russia', 'even']"
182,"['nope', 'one', 'giving', 'finger', 'fighting', 'freedom', 'obvious', 'inevitable', 'result', 'tyrant', 'war', 'global', 'pandemic', 'idiot', 'would', 'blame', 'nice', 'try']"
183,"['russia', 'better', 'worse', 'russia', 'suspend', 'start', 'process', 'withdrawing', 'territory', 'penalty', 'intervention', 'civilized', 'world']"
184,"['infantry', 'fighting', 'vehicle', 'used', 'belong', 'army']"
185,"['uncommon', 'vehicle', 'articulated', 'terrain', 'vehicle']"
186,"['literally', 'worst', 'night', 'shelling', 'sleep', 'get', 'say', 'pull', 'back']"
187,"['modern', 'certainly', 'lack', 'money', 'russia', 'part', 'right', 'right', 'would', 'war', 'secretly', 'broke', 'way', 'would', 'never', 'lie', 'us', 'would']"
188,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
189,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
190,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
191,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
192,"['disturbing', 'poll', 'tidbit', 'seen', 'today', 'admiration', 'butcher', 'unpatriotic', 'need', 'crystal', 'ball', 'guess', 'vast', 'majority', 'benedict', 'mean']"
193,"['update', 'continued', 'make', 'steady', 'costly', 'progress', 'social', 'media', 'ongoing', 'use', 'munitions', 'russia', 'motor', 'rifle', 'division', 'likely', 'suffering', 'high']"
194,"['one', 'sign', 'throw', 'war', 'cannon', 'fodder', 'dig', 'build', 'extremely', 'radioactive', 'red', 'forest', 'near', 'nuclear', 'power', 'plant', 'source', 'head', 'exclusion', 'zone', 'agency', 'thread']"
195,"['boy', 'cat', 'lost', 'crossing', 'border']"
196,"['russia', 'better', 'worse', 'russia', 'suspend', 'start', 'process', 'withdrawing', 'territory', 'penalty', 'intervention', 'civilized', 'world']"
197,['another']
198,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
199,"['everything', 'even', 'earth', 'army', 'armor', 'sure', 'defeat', 'overwhelmingly', 'end', 'run', 'away', 'dragging', 'shame', 'disappointment']"
200,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
201,"['bloody', 'blatant', 'minister', 'armed', 'baku', 'meet', 'ministry', 'defense', 'day', 'visit', 'must', 'temper', 'zeal', 'open', 'second', 'front', 'russia', 'war', 'ethnic', 'cleansing']"
202,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
203,"['humanitarian', 'crisis', 'ever', 'faced']"
204,"['evacuation', 'surviving', 'zoo', 'sadly', 'video', 'previously', 'survive', 'russia']"
